grupo_sent_vader_subcateg,A_NFO,A_NFR,A_NME,A_NEU,A_PFO,A_PFR,A_PME,D_NFO,D_NFR,D_NME,D_NEU,D_PFO,D_PFR,D_PME
bang_a_gong,0.0,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.0,0.1111111111111111,0.0,0.06666666666666667,0.2,0.4666666666666667,0.0,0.06666666666666667,0.2
barbaradadepre,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.1111111111111111,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222
barbaridadebarb,0.4,0.06666666666666667,0.13333333333333333,0.2,0.06666666666666667,0.0,0.13333333333333333,0.375,0.0,0.25,0.25,0.0,0.0,0.125
barrros_jonatas,0.16666666666666666,0.08333333333333333,0.25,0.25,0.0,0.08333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222
bbdamascenoo,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0
bcatini,0.2692307692307692,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.038461538461538464,0.07692307692307693,0.14285714285714285,0.07142857142857142,0.10714285714285714,0.14285714285714285,0.17857142857142858,0.10714285714285714,0.25
bdxlhzz,0.2,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.058823529411764705,0.17647058823529413,0.5882352941176471,0.0,0.17647058823529413,0.0
beaaraujop,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.08108108108108109,0.24324324324324326,0.1891891891891892,0.24324324324324326,0.0,0.08108108108108109,0.16216216216216217
beatrizbrasill,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
beatrizcaminha,0.36363636363636365,0.045454545454545456,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
beatwittou,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.0,0.4,0.2,0.0,0.4,0.0,0.0
beaz3ta,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.15384615384615385,0.0,0.19230769230769232,0.11538461538461539,0.07142857142857142,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0
beetlejuke,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0,0.3333333333333333,0.25,0.25,0.125,0.25,0.0,0.0,0.125
beilishessa,0.0,0.4,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.125,0.5,0.0625,0.0625,0.25
bellajobedo,0.1,0.0,0.2,0.35,0.1,0.15,0.1,0.125,0.0,0.125,0.5,0.125,0.125,0.0
belleff_,0.28,0.0,0.2,0.2,0.08,0.08,0.16,0.125,0.0,0.25,0.25,0.125,0.25,0.0
belluriana,0.1,0.3,0.2,0.3,0.1,0.0,0.0,0.4,0.4,0.0,0.0,0.2,0.0,0.0
benifalcone,0.21739130434782608,0.17391304347826086,0.17391304347826086,0.30434782608695654,0.0,0.0,0.13043478260869565,0.125,0.25,0.0,0.375,0.0,0.0,0.25
beraldotv,0.0,0.0,0.2631578947368421,0.47368421052631576,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666
besigaud,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.34782608695652173,0.08695652173913043,0.17391304347826086,0.17391304347826086,0.13043478260869565,0.043478260869565216,0.043478260869565216
betavox,0.22950819672131148,0.04918032786885246,0.13114754098360656,0.2459016393442623,0.11475409836065574,0.13114754098360656,0.09836065573770492,0.0851063829787234,0.0851063829787234,0.2553191489361702,0.23404255319148937,0.06382978723404255,0.0425531914893617,0.23404255319148937
bevanlis,0.15384615384615385,0.038461538461538464,0.15384615384615385,0.2692307692307692,0.07692307692307693,0.11538461538461539,0.19230769230769232,0.1111111111111111,0.0,0.2222222222222222,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111
bia___b,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
biamrmc,0.0,0.2,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.36363636363636365,0.45454545454545453,0.0,0.0,0.18181818181818182
biancabars,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.08333333333333333,0.0,0.16666666666666666,0.21428571428571427,0.0,0.42857142857142855,0.14285714285714285,0.0,0.21428571428571427,0.0
biancafabiano_,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222
biatuitta_,0.125,0.0625,0.0625,0.375,0.125,0.125,0.125,0.0,0.16666666666666666,0.08333333333333333,0.6666666666666666,0.0,0.08333333333333333,0.0
biazitagomes,0.22580645161290322,0.06451612903225806,0.16129032258064516,0.1935483870967742,0.06451612903225806,0.1935483870967742,0.0967741935483871,0.17777777777777778,0.08888888888888889,0.26666666666666666,0.2222222222222222,0.08888888888888889,0.06666666666666667,0.08888888888888889
bibibri,0.1,0.2,0.1,0.2,0.0,0.2,0.2,0.125,0.5,0.0,0.125,0.0,0.125,0.125
biicrvg,0.06896551724137931,0.20689655172413793,0.13793103448275862,0.3448275862068966,0.034482758620689655,0.0,0.20689655172413793,0.09375,0.0625,0.21875,0.40625,0.0,0.09375,0.125
billyjoeybr,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,0.4,0.0,0.2,0.0,0.4,0.0,0.0
biobecc,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.23529411764705882,0.0,0.11764705882352941,0.11764705882352941,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666
bisicologa,0.1724137931034483,0.10344827586206896,0.1724137931034483,0.2413793103448276,0.034482758620689655,0.0,0.27586206896551724,0.12121212121212122,0.09090909090909091,0.30303030303030304,0.3939393939393939,0.0,0.0,0.09090909090909091
bisurinha,0.2,0.1,0.2,0.1,0.025,0.125,0.25,0.17647058823529413,0.23529411764705882,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.0,0.058823529411764705
bizzleftford,0.0,0.058823529411764705,0.0,0.8823529411764706,0.0,0.0,0.058823529411764705,0.1111111111111111,0.0,0.2222222222222222,0.5555555555555556,0.0,0.1111111111111111,0.0
bkhaosprophet,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.0,0.0,0.09090909090909091,0.05,0.225,0.275,0.3,0.025,0.125,0.0
blaerta,0.16666666666666666,0.0,0.25,0.16666666666666666,0.16666666666666666,0.0,0.25,0.0,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.21428571428571427
blanchettxweisz,0.1875,0.0,0.3125,0.25,0.125,0.125,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.2
